hermeton;17.42.46.220;17.2.38;
hermeton;17.42.46.220;17.42.46;
hermeton;17.42.46.220;17.42.55;
hermeton;17.42.46.220;17.42.54;
nigen;15.44.41.220;15.4.35;
nigen;15.44.41.220;15.44.35;
nigen;15.44.41.220;15.44.41;
semoless;19.42.32.220;19.2.33;
semoless;19.42.32.220;19.2.40;
semoless;19.42.32.220;19.42.32;
semoless;19.42.32.220;19.42.29;
semoless;19.42.32.220;19.42.28;
semoless;19.42.32.220;19.2.54;
semoless;19.42.32.220;19.2.50;
semoless;19.42.32.220;19.2.48;
semoless;19.42.32.220;19.2.46;
gaume;19.1.34.220;19.1.34;
gaume;19.1.34.220;19.1.35;
gaume;19.1.34.220;19.41.75;
gaume;19.1.34.220;19.41.42;
gaume;19.1.34.220;19.41.35;
gaume;19.1.34.220;19.41.30;
gaume;19.1.34.220;19.41.28;
gaume;19.1.34.220;19.1.41;
gaume;19.1.34.220;19.1.40;
gaume;19.1.34.220;19.1.36;
rhodesch;12.41.44.220;12.1.43;
rhodesch;12.41.44.220;12.1.44;
rhodesch;12.41.44.220;12.41.58;
rhodesch;12.41.44.220;12.41.44;
rhodesch;12.41.44.220;12.41.40;
rhodesch;12.41.44.220;12.1.46;
pzlede;12.2.41.220;12.2.37;
pzlede;12.2.41.220;12.2.41;
pzlede;12.2.41.220;12.42.41;
zuiderke;13.43.35.220;13.3.45;
zuiderke;13.43.35.220;13.43.35;
zuiderke;13.43.35.220;13.43.53;
basmeuse;18.41.47.220;18.1.34;
basmeuse;18.41.47.220;18.1.35;
basmeuse;18.41.47.220;18.41.69;
basmeuse;18.41.47.220;18.41.56;
basmeuse;18.41.47.220;18.41.53;
basmeuse;18.41.47.220;18.41.47;
basmeuse;18.41.47.220;18.41.34;
basmeuse;18.41.47.220;18.1.53;
basmeuse;18.41.47.220;18.1.47;
basmeuse;18.41.47.220;18.1.41;
hageland;15.3.47.220;15.3.35;
hageland;15.3.47.220;15.3.38;
hageland;15.3.47.220;15.43.55;
hageland;15.3.47.220;15.43.47;
hageland;15.3.47.220;15.43.38;
hageland;15.3.47.220;15.43.35;
hageland;15.3.47.220;15.43.27;
hageland;15.3.47.220;15.3.47;
regtielt;11.41.72.220;11.1.31;
regtielt;11.41.72.220;11.1.48;
regtielt;11.41.72.220;11.41.72;
regtielt;11.41.72.220;11.41.71;
regtielt;11.41.72.220;11.41.64;
regtielt;11.41.72.220;11.41.63;
regtielt;11.41.72.220;11.41.50;
regtielt;11.41.72.220;11.41.48;
regtielt;11.41.72.220;11.41.31;
regtielt;11.41.72.220;11.1.50;
pzlanden;15.43.40.220;15.3.40;
pzlanden;15.43.40.220;15.3.50;
pzlanden;15.43.40.220;15.43.41;
pzlanden;15.43.40.220;15.43.40;
pznoord;13.41.42.220;13.41.57;
trieu;16.42.39.220;16.2.39;
trieu;16.42.39.220;16.2.42;
trieu;16.42.39.220;16.42.42;
trieu;16.42.39.220;16.42.39;
secova;18.41.33.220;18.1.51;
secova;18.41.33.220;18.1.52;
secova;18.41.33.220;18.41.73;
secova;18.41.33.220;18.41.55;
secova;18.41.33.220;18.41.51;
secova;18.41.33.220;18.41.36;
secova;18.41.33.220;18.41.33;
dendhaal;12.42.38.220;12.2.35;
dendhaal;12.42.38.220;12.2.38;
dendhaal;12.42.38.220;12.42.38;
pzloon;14.2.39.220;14.2.33;
pzloon;14.2.39.220;14.2.39;
pzloon;14.2.39.220;14.42.37;
pzloon;14.2.39.220;14.42.33;
pzloon;14.2.39.220;14.42.31;
pzloon;14.2.39.220;14.42.30;
puyenbr;12.1.41.220;12.1.41;
puyenbr;12.1.41.220;12.1.48;
puyenbr;12.1.41.220;12.41.53;
puyenbr;12.1.41.220;12.41.49;
puyenbr;12.1.41.220;12.41.41;
pajot;15.2.36.220;15.2.35;
pajot;15.2.36.220;15.2.36;
pajot;15.2.36.220;15.42.36;
pajot;15.2.36.220;15.42.35;
pajot;15.2.36.220;15.42.32;
pajot;15.2.36.220;15.42.30;
pajot;15.2.36.220;15.42.29;
pajot;15.2.36.220;15.2.40;
hautspay;16.1.36.220;16.1.36;
hautspay;16.1.36.220;16.1.40;
hautspay;16.1.36.220;16.41.55;
hautspay;16.1.36.220;16.41.50;
hautspay;16.1.36.220;16.41.36;
scheleie;12.1.33.220;12.1.33;
scheleie;12.1.33.220;12.1.37;
scheleie;12.1.33.220;12.41.55;
scheleie;12.1.33.220;12.41.54;
scheleie;12.1.33.220;12.41.37;
scheleie;12.1.33.220;12.41.33;
ornmehai;17.41.37.220;17.1.33;
ornmehai;17.41.37.220;17.41.33;
ornmehai;17.41.37.220;17.41.51;
ornmehai;17.41.37.220;17.41.50;
ornmehai;17.41.37.220;17.41.37;
hano;14.41.28.220;14.1.34;
hano;14.41.28.220;14.41.28;
hano;14.41.28.220;14.41.41;
brakel;12.3.31.220;12.3.31;
brakel;12.3.31.220;12.3.34;
brakel;12.3.31.220;12.43.41;
brakel;12.3.31.220;12.43.31;
brakel;12.3.31.220;12.43.28;
zonemidi;15.41.31.220;15.41.42;
zonemidi;15.41.31.220;15.41.49;
zonemidi;15.41.31.220;15.41.88;
zonemidi;15.41.31.220;15.41.87;
zonemidi;15.41.31.220;15.41.86;
zonemidi;15.41.31.220;15.41.85;
zonemidi;15.41.31.220;15.41.84;
zonemidi;15.41.31.220;15.41.83;
zonemidi;15.41.31.220;15.41.82;
zonemidi;15.41.31.220;15.41.81;
zonemidi;15.41.31.220;15.41.80;
hsemois;17.42.41.220;17.2.31;
hsemois;17.42.41.220;17.2.32;
hsemois;17.42.41.220;17.42.41;
hsemois;17.42.41.220;17.2.50;
ornethyl;15.44.40.220;15.4.34;
ornethyl;15.44.40.220;15.4.48;
ornethyl;15.44.40.220;15.44.40;
ornethyl;15.44.40.220;15.44.28;
ornethyl;15.44.40.220;15.44.27;
collines;16.43.41.220;16.3.42;
collines;16.43.41.220;16.3.43;
collines;16.43.41.220;16.43.48;
collines;16.43.41.220;16.43.43;
collines;16.43.41.220;16.43.41;
flowal;17.42.51.220;17.2.39;
flowal;17.42.51.220;17.42.51;
zp5320;16.3.46.220;16.3.46;
zp5320;16.3.46.220;16.43.37;
zp5320;16.3.46.220;16.43.51;
zp5320;16.3.46.220;16.43.46;
zp5320;16.3.46.220;16.43.40;
z5342;15.41.44.220;15.41.38;
z5342;15.41.44.220;15.41.44;
z5342;15.41.44.220;15.41.60;
z5342;15.41.44.220;15.41.59;
z5342;15.41.44.220;15.41.58;
z5342;15.41.44.220;15.41.57;
z5342;15.41.44.220;15.41.56;
z5342;15.41.44.220;15.41.55;
z5342;15.41.44.220;15.41.51;
eupen;18.42.1.220;18.2.35;
eupen;18.42.1.220;18.2.36;
eupen;18.42.1.220;18.42.90;
eupen;18.42.1.220;18.42.39;
eupen;18.42.1.220;18.42.36;
eupen;18.42.1.220;18.42.35;
eupen;18.42.1.220;18.42.5;
eupen;18.42.1.220;18.42.4;
eupen;18.42.1.220;18.42.3;
eupen;18.42.1.220;18.42.2;
eupen;18.42.1.220;18.42.1;
wlimburg;14.41.37.220;14.41.37;
wlimburg;14.41.37.220;14.41.50;
wlimburg;14.41.37.220;14.41.51;
lowazone;12.1.50.220;12.1.45;
lowazone;12.1.50.220;12.1.50;
lowazone;12.1.50.220;12.41.50;
lowazone;12.1.50.220;12.41.45;
lowazone;12.1.50.220;12.41.39;
lowazone;12.1.50.220;12.41.38;
sanktvit;18.42.37.220;18.2.31;
sanktvit;18.42.37.220;18.2.32;
sanktvit;18.42.37.220;18.42.41;
sanktvit;18.42.37.220;18.42.40;
sanktvit;18.42.37.220;18.42.37;
sanktvit;18.42.37.220;18.2.33;
veronikx;10.5.7.68;;
tignes;10.5.7.66;;
zpz5340;15.41.29.220;15.41.36;
zpz5340;15.41.29.220;15.41.45;
zpz5340;15.41.29.220;15.41.96;
zpz5340;15.41.29.220;15.41.95;
zpz5340;15.41.29.220;15.41.94;
zpz5340;15.41.29.220;15.41.93;
zpz5340;15.41.29.220;15.41.92;
zpz5340;15.41.29.220;15.41.91;
zpz5340;15.41.29.220;15.41.90;
zpz5340;15.41.29.220;15.41.89;
zpz5340;15.41.29.220;15.41.48;
zpz5340;15.41.29.220;15.41.47;
monty;15.1.35.220;15.1.35;
monty;15.1.35.220;15.41.35;
monty;15.1.35.220;15.41.72;
